A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,Geographical area,Latitude,Latitude,X position,Y position
51,POLE,E-PTZ-7.02,PTZ CAMERA,EAST,7+ 628.71,K7 RIGHT SIDE OF THE ROAD,,ΓΕ2,40.642659,22.969083,,
52,POLE,E-PTZ-7.03,PTZ CAMERA,EAST,7+ 849.35,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.640697,22.969595,,
53,POLE,E-PTZ-8.01,PTZ CAMERA,EAST,8+ 150,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.638065,22.970554,,
54,POLE,E-PTZ-8.02,PTZ CAMERA,EAST,8+ 484.5,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.635218,22.971886,,
55,POLE,E-PTZ-8.03,PTZ CAMERA,EAST,8+ 885,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.631899,22.973764,,
56,POLE,E-PTZ-9.01,PTZ CAMERA,EAST,9+ 366.5/0+090,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.628171,22.976729,,
57,POLE,E-PTZ-9.02,PTZ CAMERA,EAST,9+ 605/0+329,K8 RIGHT SIDE OF THE ROAD,,ΓΕ2,40.626486,22.978476,,
58,POLE,E-PTZ-10.01,PTZ CAMERA,EAST,10+ 123.62,K9 RIGHT SIDE OF THE ROAD,,ΓΕ2,40.622592,22.981728,,
59,POLE,E-PTZ-10.02,PTZ CAMERA,EAST,10+ 585.5,RIGHT SIDE OF THE ROAD,,ΓΕ2,40.618566,22.982971,,
60,POLE,E-PTZ-11.01,PTZ CAMERA,EAST,11+ 053,RIGHT SIDE OF THE ROAD,,ΓΕ3,40.615009,22.985997,,
61,POLE,E-PTZ-11.02,PTZ CAMERA,EAST,11+ 409.11,K10,,ΓΕ3,40.61375,22.989933,,
62,HANGING FROM CEILING,T21-E-PTZ-12.01,PTZ CAMERA,EAST,12+ 064,RIGHT WALL,,ΓΕ3,40.612906,22.997491,,
63,HANGING FROM CEILING,T21-EF-PTZ-12.01,PTZ CAMERA,EAST,12+ 064/7+986,RIGHT WALL,,ΓΕ3,40.613017,22.997585,,
64,HANGING FROM CEILING,T21-E-PTZ-12.02,PTZ CAMERA,EAST,12+ 133,RIGHT WALL,,ΓΕ3,40.612548,22.998124,,
65,POLE,E-PTZ-14.01,PTZ CAMERA,EAST,14+ 959,K11a,,ΓΕ4,40.590407,22.988137,,
66,POLE,E-PTZ-15.01,PTZ CAMERA,EAST,15+ 727,RIGHT SIDE OF THE ROAD,,ΓΕ4,40.585335,22.981939,,
67,POLE,WF-PTZ-1.01,PTZ CAMERA,WEST,1+333,RIGHT SIDE OF THE ROAD,Fly,ΓΕ1,40.66227,22.967837,,
68,POLE,WF-PTZ-1.02,PTZ CAMERA,WEST,1+855,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.657513,22.967803,,
69,POLE,WF-PTZ-2.01,PTZ CAMERA,WEST,2+355.5,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.653171,22.966668,,
70,POLE,WF-PTZ-2.02,PTZ CAMERA,WEST,2+855.5,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.648776,22.967734,,
71,POLE,WF-PTZ-3.01,PTZ CAMERA,WEST,3+314,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.644847,22.969398,,
72,POLE,WF-PTZ-3.02,PTZ CAMERA,WEST,3+611.5,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.642208,22.970039,,
